f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
13,1,8,0,0.53,2,0,15,417,307,0.74,5,9,2,0.7238095238095238,0.74375,1.8445481514870679,0.09298719989775903,0.09186637405077183,0.11280754565455929,0.07142857142857142,0.08314540743145443,-0.10992335958443848,8.195011337868483,16.153846153846153,0.4487179487179486,9.37431798078083,5,0,2,1,0.47,1,0,11,324,232,0.72,5,6,28,0.6739130434782609,0.5768025078369906,1.7702747392726295,0.08931744439283601,0.11394257261785957,0.11483337640148433,0.07142857142857142,0.07100474622078506,-0.08565073070891717,6.6821273964131125,14.153846153846155,0.5384615384615385,8.905809040964375,1
5,0,2,1,0.47,1,0,11,324,232,0.72,5,6,28,0.6739130434782609,0.5768025078369906,1.7702747392726295,0.08931744439283601,0.11394257261785957,0.11483337640148433,0.07142857142857142,0.07100474622078506,-0.08565073070891717,6.6821273964131125,14.153846153846155,0.5384615384615385,8.905809040964375,13,1,8,0,0.53,2,0,15,417,307,0.74,5,9,2,0.7238095238095238,0.74375,1.8445481514870679,0.09298719989775903,0.09186637405077183,0.11280754565455929,0.07142857142857142,0.08314540743145443,-0.10992335958443848,8.195011337868483,16.153846153846153,0.4487179487179486,9.37431798078083,1
14,1,2,1,0.47,2,0,17,411,316,0.77,5,7,10,0.7450980392156863,0.6472972972972973,1.7772184993352564,0.09118408736881002,0.10763037914715978,0.13718941296366885,0.07142857142857142,0.07445433676890206,-0.24273361892835288,8.098464234178518,15.692307692307693,0.5384615384615385,9.819808972753513,24,0,7,3,0.53,1,0,8,543,432,0.8,8,8,4,0.7592592592592593,0.6376811594202898,1.8603094608507238,0.09258163655187661,0.1055343209678206,0.12460053374003639,0.07142857142857142,0.08355971816566088,-0.18888314015215146,8.282142857142857,16.615384615384617,0.47435897435897434,10.095952168746287,0
24,0,7,3,0.53,1,0,8,543,432,0.8,8,8,4,0.7592592592592593,0.6376811594202898,1.8603094608507238,0.09258163655187661,0.1055343209678206,0.12460053374003639,0.07142857142857142,0.08355971816566088,-0.18888314015215146,8.282142857142857,16.615384615384617,0.47435897435897434,10.095952168746287,14,1,2,1,0.47,2,0,17,411,316,0.77,5,7,10,0.7450980392156863,0.6472972972972973,1.7772184993352564,0.09118408736881002,0.10763037914715978,0.13718941296366885,0.07142857142857142,0.07445433676890206,-0.24273361892835288,8.098464234178518,15.692307692307693,0.5384615384615385,9.819808972753513,1
17,1,6,0,0.61,1,0,11,651,558,0.86,5,9,2,0.7933884297520661,0.7320717131474104,2.022605385026278,0.10408332575380247,0.11205887504104053,0.13506788158865207,0.07142857142857142,0.0694548844528443,-0.22049482660300895,9.198933804290947,18.61538461538462,0.39102564102564097,10.732471497370877,5,0,3,2,0.39,4,0,13,329,253,0.77,8,7,1,0.6506024096385542,0.5551181102362205,1.591367087346272,0.09025039532521345,0.09432562595989369,0.1733333509538123,0.07142857142857142,0.0647797341674037,-0.1584175869773461,6.355357142857144,12.76923076923077,0.8076923076923076,8.539793675739102,1
5,0,3,2,0.39,4,0,13,329,253,0.77,8,7,1,0.6506024096385542,0.5551181102362205,1.591367087346272,0.09025039532521345,0.09432562595989369,0.1733333509538123,0.07142857142857142,0.0647797341674037,-0.1584175869773461,6.355357142857144,12.76923076923077,0.8076923076923076,8.539793675739102,17,1,6,0,0.61,1,0,11,651,558,0.86,5,9,2,0.7933884297520661,0.7320717131474104,2.022605385026278,0.10408332575380247,0.11205887504104053,0.13506788158865207,0.07142857142857142,0.0694548844528443,-0.22049482660300895,9.198933804290947,18.61538461538462,0.39102564102564097,10.732471497370877,0
15,1,11,1,0.51,4,0,11,567,458,0.81,6,8,3,0.7722772277227723,0.6698369565217391,1.7770071635289617,0.10670891293450217,0.10937436456486005,0.12081025095109157,0.07142857142857144,0.0713223905800913,-0.2549436852936462,8.291955266955267,15.53846153846154,0.5576923076923076,9.73961416755871,7,0,1,2,0.49,0,0,11,473,387,0.82,5,9,1,0.7884615384615384,0.6726804123711341,1.8044048711297453,0.08347850481383536,0.09651426730911494,0.14214852938477296,0.07142857142857142,0.06863401077711923,-0.09410001261907429,8.078808493094208,16.0,0.5512820512820512,9.654103228213135,1
7,0,1,2,0.49,0,0,11,473,387,0.82,5,9,1,0.7884615384615384,0.6726804123711341,1.8044048711297453,0.08347850481383536,0.09651426730911494,0.14214852938477296,0.07142857142857142,0.06863401077711923,-0.09410001261907429,8.078808493094208,16.0,0.5512820512820512,9.654103228213135,15,1,11,1,0.51,4,0,11,567,458,0.81,6,8,3,0.7722772277227723,0.6698369565217391,1.7770071635289617,0.10670891293450217,0.10937436456486005,0.12081025095109157,0.07142857142857144,0.0713223905800913,-0.2549436852936462,8.291955266955267,15.53846153846154,0.5576923076923076,9.73961416755871,1
8,1,4,2,0.55,4,0,18,527,447,0.85,6,9,2,0.7916666666666666,0.7867435158501441,1.7891823997977871,0.11180668028041664,0.10005055152669431,0.12494876472420681,0.07692307692307691,0.08994319641200249,-0.09527339647386955,8.237393162393163,16.0,0.3787878787878788,9.07990832696715,11,0,7,0,0.45,4,0,14,398,315,0.79,7,7,1,0.8314606741573034,0.7174603174603175,1.663808402071478,0.10488667514984473,0.11244356840869689,0.13041099196544398,0.08333333333333331,0.08660622129669279,-0.25615029156614616,7.8582010582010575,16.181818181818183,0.3909090909090909,9.21057578902006,1
11,0,7,0,0.45,4,0,14,398,315,0.79,7,7,1,0.8314606741573034,0.7174603174603175,1.663808402071478,0.10488667514984473,0.11244356840869689,0.13041099196544398,0.08333333333333331,0.08660622129669279,-0.25615029156614616,7.8582010582010575,16.181818181818183,0.3909090909090909,9.21057578902006,8,1,4,2,0.55,4,0,18,527,447,0.85,6,9,2,0.7916666666666666,0.7867435158501441,1.7891823997977871,0.11180668028041664,0.10005055152669431,0.12494876472420681,0.07692307692307691,0.08994319641200249,-0.09527339647386955,8.237393162393163,16.0,0.3787878787878788,9.07990832696715,0
5,1,2,1,0.4,4,1,13,413,337,0.82,6,7,9,0.7647058823529411,0.6706036745406824,1.802432798060039,0.09529964718316192,0.10631539757388331,0.13059319644476894,0.07142857142857142,0.08303928387167142,-0.24437673934382614,7.540404040404041,15.692307692307693,0.4423076923076922,9.504185595701431,12,0,7,1,0.6,2,0,10,708,647,0.91,4,7,10,0.8666666666666667,0.7208588957055214,1.7932894576078773,0.09841903700630558,0.10136185177722096,0.17237760261209897,0.07142857142857141,0.06042364076495395,-0.17067731544797424,9.15225984333127,18.461538461538463,0.39743589743589747,10.637413218876068,0
