f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
13,1,8,0,0.53,2,0,15,417,307,0.74,5,9,2,0.813953488372093,0.8253205128205128,1.9184762444630885,0.10304986177834985,0.10500802582608126,0.1260227850137184,0.09090909090909093,0.09686398956195448,-0.24858327274701697,8.079617604617605,17.2,0.2666666666666667,9.21674159174159,5,0,2,1,0.47,1,0,11,324,232,0.72,4,6,24,0.7105263157894737,0.6694560669456067,1.8394818589751307,0.0998959034102343,0.124889385160521,0.12597633058137916,0.09090909090909091,0.08653612381990222,-0.014011556541524764,6.8159090909090905,15.200000000000001,0.3777777777777778,8.462204462204461,1
5,0,2,1,0.47,1,0,11,324,232,0.72,4,6,24,0.7105263157894737,0.6694560669456067,1.8394818589751307,0.0998959034102343,0.124889385160521,0.12597633058137916,0.09090909090909091,0.08653612381990222,-0.014011556541524764,6.8159090909090905,15.200000000000001,0.3777777777777778,8.462204462204461,13,1,8,0,0.53,2,0,15,417,307,0.74,5,9,2,0.813953488372093,0.8253205128205128,1.9184762444630885,0.10304986177834985,0.10500802582608126,0.1260227850137184,0.09090909090909093,0.09686398956195448,-0.24858327274701697,8.079617604617605,17.2,0.2666666666666667,9.21674159174159,1
14,1,2,1,0.47,2,0,17,411,316,0.77,5,7,6,0.7848101265822784,0.7430830039525692,1.7481554572476758,0.1085608424180999,0.12635860100751825,0.137775994446516,0.0909090909090909,0.09596995224120723,-0.2146106178558317,7.301334776334778,15.799999999999997,0.3444444444444445,8.745244951127304,24,0,7,3,0.53,1,0,8,543,432,0.8,9,8,2,0.7848101265822784,0.7366412213740458,1.7946241811649386,0.10536732418020137,0.11373694355814444,0.13837705247614274,0.09090909090909091,0.10058241085747069,-0.10402378101485042,7.2376623376623375,15.799999999999999,0.34444444444444444,8.68427405927406,0
24,0,7,3,0.53,1,0,8,543,432,0.8,9,8,2,0.7848101265822784,0.7366412213740458,1.7946241811649386,0.10536732418020137,0.11373694355814444,0.13837705247614274,0.09090909090909091,0.10058241085747069,-0.10402378101485042,7.2376623376623375,15.799999999999999,0.34444444444444444,8.68427405927406,14,1,2,1,0.47,2,0,17,411,316,0.77,5,7,6,0.7848101265822784,0.7430830039525692,1.7481554572476758,0.1085608424180999,0.12635860100751825,0.137775994446516,0.0909090909090909,0.09596995224120723,-0.2146106178558317,7.301334776334778,15.799999999999997,0.3444444444444445,8.745244951127304,1
17,1,6,0,0.61,1,0,11,651,558,0.86,7,9,2,0.8791208791208791,0.8601190476190477,1.9452617271947947,0.1139940673156065,0.12213730536765224,0.1354596081444686,0.09090909090909091,0.10441449982478569,-0.1627395630040562,8.388059163059163,18.200000000000003,0.2111111111111111,9.58008658008658,5,0,3,2,0.39,4,0,13,329,253,0.77,6,7,1,0.7164179104477612,0.6612903225806451,1.6094379124341005,0.1031075341795937,0.10158715946059928,0.18222192665656395,0.09090909090909091,0.08152308321895169,-0.19394016706850667,6.349025974025975,13.4,0.5111111111111112,7.977314352314353,1
5,0,3,2,0.39,4,0,13,329,253,0.77,6,7,1,0.7164179104477612,0.6612903225806451,1.6094379124341005,0.1031075341795937,0.10158715946059928,0.18222192665656395,0.09090909090909091,0.08152308321895169,-0.19394016706850667,6.349025974025975,13.4,0.5111111111111112,7.977314352314353,17,1,6,0,0.61,1,0,11,651,558,0.86,7,9,2,0.8791208791208791,0.8601190476190477,1.9452617271947947,0.1139940673156065,0.12213730536765224,0.1354596081444686,0.09090909090909091,0.10441449982478569,-0.1627395630040562,8.388059163059163,18.200000000000003,0.2111111111111111,9.58008658008658,0
15,1,11,1,0.51,4,0,11,567,458,0.81,6,8,3,0.8292682926829268,0.7805755395683454,1.7379834485870498,0.11706171082236352,0.11737230932834317,0.13492178641316707,0.09090909090909093,0.0879222316051955,-0.23274812528053895,7.790584415584416,16.4,0.3111111111111111,8.901057276057276,7,0,1,2,0.49,0,0,11,473,387,0.82,5,9,1,0.8333333333333334,0.7916666666666666,1.7782333057997077,0.1151030550330855,0.13348610647877812,0.1586087662410055,0.09090909090909093,0.08241213987341871,-0.2367506534361683,7.842496392496392,16.8,0.2888888888888889,9.076923076923078,1
7,0,1,2,0.49,0,0,11,473,387,0.82,5,9,1,0.8333333333333334,0.7916666666666666,1.7782333057997077,0.1151030550330855,0.13348610647877812,0.1586087662410055,0.09090909090909093,0.08241213987341871,-0.2367506534361683,7.842496392496392,16.8,0.2888888888888889,9.076923076923078,15,1,11,1,0.51,4,0,11,567,458,0.81,6,8,3,0.8292682926829268,0.7805755395683454,1.7379834485870498,0.11706171082236352,0.11737230932834317,0.13492178641316707,0.09090909090909093,0.0879222316051955,-0.23274812528053895,7.790584415584416,16.4,0.3111111111111111,8.901057276057276,1
8,1,4,2,0.55,4,0,18,527,447,0.85,6,9,2,0.8409090909090909,0.84185303514377,1.7836265719917095,0.11090256493465409,0.10711437097778403,0.1307995601167938,0.09090909090909093,0.09743939303381244,-0.158530651893601,8.104978354978355,17.6,0.24444444444444444,9.363127069009423,11,0,7,0,0.45,4,0,14,398,315,0.79,7,6,13,0.8641975308641975,0.7676579925650557,1.6685119747237422,0.11017513528838718,0.1178514776599339,0.13426947932932493,0.09090909090909091,0.09253164420904246,-0.19191262432654224,7.545815295815296,16.200000000000003,0.32222222222222224,8.864292570174923,1
11,0,7,0,0.45,4,0,14,398,315,0.79,7,6,13,0.8641975308641975,0.7676579925650557,1.6685119747237422,0.11017513528838718,0.1178514776599339,0.13426947932932493,0.09090909090909091,0.09253164420904246,-0.19191262432654224,7.545815295815296,16.200000000000003,0.32222222222222224,8.864292570174923,8,1,4,2,0.55,4,0,18,527,447,0.85,6,9,2,0.8409090909090909,0.84185303514377,1.7836265719917095,0.11090256493465409,0.10711437097778403,0.1307995601167938,0.09090909090909093,0.09743939303381244,-0.158530651893601,8.104978354978355,17.6,0.24444444444444444,9.363127069009423,0
