f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
10,1,7,2,0.39,3,0,29,263,146,0.56,4,5,10,0.576271186440678,0.5594405594405595,1.464816384890813,0.10952563664359945,0.10676269848063952,0.22238075827940162,0.09090909090909093,0.06437237937886171,-0.2505074125063437,5.199891774891775,11.8,0.6333333333333333,7.546734096656697,12,0,5,1,0.61,3,0,17,434,321,0.74,5,9,4,0.8478260869565217,0.8517441860465116,1.8995749922607728,0.10951556991948716,0.11027337619035009,0.12516161312731794,0.09090909090909091,0.09607977174938037,-0.17511524711995707,8.393686868686869,18.4,0.2,9.599067599067597,0
12,0,5,1,0.61,3,0,17,434,321,0.74,5,9,4,0.8478260869565217,0.8517441860465116,1.8995749922607728,0.10951556991948716,0.11027337619035009,0.12516161312731794,0.09090909090909091,0.09607977174938037,-0.17511524711995707,8.393686868686869,18.4,0.2,9.599067599067597,10,1,7,2,0.39,3,0,29,263,146,0.56,4,5,10,0.576271186440678,0.5594405594405595,1.464816384890813,0.10952563664359945,0.10676269848063952,0.22238075827940162,0.09090909090909093,0.06437237937886171,-0.2505074125063437,5.199891774891775,11.8,0.6333333333333333,7.546734096656697,1
26,1,10,0,0.61,3,0,12,510,428,0.84,4,10,1,0.8817204301075269,0.8601694915254238,1.9371061758293182,0.11620093300112726,0.12078012257446069,0.14225145452552002,0.09090909090909091,0.0868031725373301,-0.2506547529084799,8.589898989898991,18.6,0.1888888888888889,9.682650682650683,12,0,5,1,0.39,1,0,11,276,206,0.75,5,7,1,0.8311688311688312,0.71875,1.8025710372757568,0.11201981207216559,0.11029385136732554,0.13982454888012488,0.09090909090909091,0.08065961709012562,-0.18027008621310692,7.163275613275613,15.400000000000002,0.3666666666666667,8.610972360972362,1
12,0,5,1,0.39,1,0,11,276,206,0.75,5,7,1,0.8311688311688312,0.71875,1.8025710372757568,0.11201981207216559,0.11029385136732554,0.13982454888012488,0.09090909090909091,0.08065961709012562,-0.18027008621310692,7.163275613275613,15.400000000000002,0.3666666666666667,8.610972360972362,26,1,10,0,0.61,3,0,12,510,428,0.84,4,10,1,0.8817204301075269,0.8601694915254238,1.9371061758293182,0.11620093300112726,0.12078012257446069,0.14225145452552002,0.09090909090909091,0.0868031725373301,-0.2506547529084799,8.589898989898991,18.6,0.1888888888888889,9.682650682650683,1
11,1,8,2,0.36,2,0,14,235,163,0.69,4,7,4,0.7368421052631579,0.6965811965811965,1.8446214763655029,0.10029350602726658,0.09794158983397831,0.13177495770834316,0.09090909090909091,0.08641490356791653,-0.09679244863990583,6.852453102453103,15.200000000000001,0.37777777777777777,8.514402264402264,18,0,8,1,0.64,7,1,8,599,513,0.86,7,9,2,0.8636363636363636,0.8251533742331288,1.830541488377413,0.10541984353650435,0.11715859609425638,0.16550954395954237,0.09090909090909093,0.0837036379294692,-0.18298325834763626,8.28181818181818,17.6,0.24444444444444446,9.28904428904429,1
18,0,8,1,0.64,7,1,8,599,513,0.86,7,9,2,0.8636363636363636,0.8251533742331288,1.830541488377413,0.10541984353650435,0.11715859609425638,0.16550954395954237,0.09090909090909093,0.0837036379294692,-0.18298325834763626,8.28181818181818,17.6,0.24444444444444446,9.28904428904429,11,1,8,2,0.36,2,0,14,235,163,0.69,4,7,4,0.7368421052631579,0.6965811965811965,1.8446214763655029,0.10029350602726658,0.09794158983397831,0.13177495770834316,0.09090909090909091,0.08641490356791653,-0.09679244863990583,6.852453102453103,15.200000000000001,0.37777777777777777,8.514402264402264,1
15,1,4,4,0.55,4,0,15,420,307,0.73,6,8,1,0.72,0.6866666666666666,1.798105502624266,0.09904259277876709,0.11617618830063503,0.12924529022601416,0.09090909090909093,0.09414948348897433,-0.06827215517828879,6.9231601731601735,15.000000000000002,0.3888888888888889,8.411380286380286,12,0,3,5,0.45,1,0,16,311,185,0.59,4,7,3,0.6268656716417911,0.5855614973262032,1.6304325826288886,0.11990192833950941,0.1026341820817541,0.15459391360070943,0.0909090909090909,0.08464390662316681,-0.18527165532733544,5.864393939393938,13.4,0.4888888888888889,7.997405372405372,0
12,0,3,5,0.45,1,0,16,311,185,0.59,4,7,3,0.6268656716417911,0.5855614973262032,1.6304325826288886,0.11990192833950941,0.1026341820817541,0.15459391360070943,0.0909090909090909,0.08464390662316681,-0.18527165532733544,5.864393939393938,13.4,0.4888888888888889,7.997405372405372,15,1,4,4,0.55,4,0,15,420,307,0.73,6,8,1,0.72,0.6866666666666666,1.798105502624266,0.09904259277876709,0.11617618830063503,0.12924529022601416,0.09090909090909093,0.09414948348897433,-0.06827215517828879,6.9231601731601735,15.000000000000002,0.3888888888888889,8.411380286380286,1
20,1,7,2,0.54,2,0,8,483,403,0.83,8,9,2,0.8095238095238095,0.8090277777777778,1.807848150228962,0.10782251264170997,0.10800047278074565,0.12459134155861762,0.09090909090909091,0.09897001518075624,-0.05298707020457041,7.686904761904762,16.8,0.3,9.07177033492823,9,0,2,1,0.46,0,0,12,403,321,0.8,5,7,2,0.7894736842105263,0.7121848739495799,1.6969076923433906,0.10839461046424304,0.1058747432359194,0.1713654870686251,0.09090909090909091,0.0959292393402527,-0.2056562490724402,7.158441558441558,15.2,0.3777777777777778,8.521936396936399,1
9,0,2,1,0.46,0,0,12,403,321,0.8,5,7,2,0.7894736842105263,0.7121848739495799,1.6969076923433906,0.10839461046424304,0.1058747432359194,0.1713654870686251,0.09090909090909091,0.0959292393402527,-0.2056562490724402,7.158441558441558,15.2,0.3777777777777778,8.521936396936399,20,1,7,2,0.54,2,0,8,483,403,0.83,8,9,2,0.8095238095238095,0.8090277777777778,1.807848150228962,0.10782251264170997,0.10800047278074565,0.12459134155861762,0.09090909090909091,0.09897001518075624,-0.05298707020457041,7.686904761904762,16.8,0.3,9.07177033492823,0
