attemps,ishometeam,Corners,Offsides,Ball_Posession,Yellow_cards,Red_cards,Fouls_suffered,passes_attemted,passes_completed,pass_completion_rate,diameter,largest_cliques,countmax_cliques,reciprocity,global_clustering,diversity,hubs,authorities,pagerank_max,pagerank_mean,pagerank_median,assortativity,AverageNeighborhood,degree_centralization,betweenness_centralization,closeness_centralization,label
29,1,9,2,0.66,0,0,13,596,486,0.82,8,8,3,0.803921568627451,0.696969696969697,1.7531520984465558,0.0995923489643934,0.12038925661946451,0.14064115295771318,0.07142857142857142,0.07266313765110906,-0.3098541936715424,8.681266749123893,15.692307692307692,0.5576923076923076,9.813247172484818,1
2,0,0,1,0.34,2,0,8,197,105,0.53,14,5,1,0.5,0.4316546762589928,1.53639055670476,0.09691936604768205,0.10297891410973427,0.1410824653195897,0.07142857142857141,0.07127589512966356,-0.088192323661513,4.440476190476191,9.846153846153847,0.9551282051282052,7.242242398328053,0
11,1,5,1,0.42,3,1,11,295,227,0.77,6,7,2,0.7088607594936709,0.6041666666666666,1.519382664642301,0.1098936471969512,0.10870741191383045,0.1459038801333621,0.07692307692307693,0.06352341902445718,-0.19559087591583213,6.3533494283494285,13.166666666666666,0.7803030303030303,8.018357939901888,1
14,0,5,0,0.58,3,0,10,516,443,0.86,4,10,1,0.75,0.7177242888402626,1.831736916334456,0.11217345991766164,0.12694947593325975,0.13374272168842183,0.07142857142857142,0.06545895394354605,-0.17510873481904526,8.844155844155846,17.23076923076923,0.4487179487179486,10.303724998771438,0
17,1,5,1,0.43,2,0,13,390,301,0.77,6,7,8,0.8,0.6597402597402597,1.8572007905858023,0.08086807105343753,0.09714832757939271,0.12471075884662475,0.06666666666666667,0.06911697982535106,0.03740925559993728,7.320620490620491,14.999999999999998,0.7307692307692308,9.4861038919512,1
4,0,1,1,0.57,1,0,18,535,443,0.83,5,10,1,0.7735849056603774,0.7517241379310344,1.851090057933418,0.10496928054039954,0.11390448119880772,0.13362243729007986,0.07692307692307691,0.08289325778677512,-0.2867525522465104,8.989729714729714,17.666666666666664,0.37878787878787884,10.057812517719638,0
20,1,6,0,0.42,0,0,12,272,203,0.75,5,9,1,0.5909090909090909,0.6684981684981685,1.7337055336333633,0.09492323153426552,0.10011641898732922,0.13138341982186355,0.07142857142857142,0.0786572107411217,-0.20888624729030644,7.2695294784580495,13.538461538461538,0.5384615384615384,8.936454365880602,1
10,0,4,0,0.58,1,0,11,466,376,0.81,5,9,3,0.8333333333333334,0.7461538461538462,2.0816136841535027,0.09240984955840317,0.0989696047713178,0.10635441277725767,0.07142857142857142,0.08150905253663959,-0.16267611886234024,9.356385281385283,18.461538461538463,0.4166666666666667,10.539169875009154,0
16,1,8,3,0.44,0,0,5,516,428,0.83,5,7,8,0.8,0.6268191268191268,1.755755250770733,0.08354908806631435,0.09192441155716288,0.12556221437782264,0.06666666666666667,0.05978270913228434,-0.25291006857127846,8.996282051282053,17.142857142857142,0.5,10.600657362634074,0
6,0,3,4,0.56,2,0,18,599,536,0.89,6,9,1,0.8571428571428571,0.7166030534351145,1.7817463760085674,0.09163451825703961,0.10341648125198404,0.134540655271404,0.0625,0.053994686864414915,-0.2584226135550953,9.028066031191031,16.8,0.5238095238095237,10.609043128714685,1
10,1,3,2,0.43,6,0,8,384,303,0.79,5,9,1,0.7130434782608696,0.5823389021479713,1.81554135643034,0.08700797352196292,0.07935230397040981,0.09870038787668947,0.0625,0.06753455555484207,-0.011972585411537628,7.918686868686869,15.333333333333336,0.6333333333333335,10.507074138883638,1
11,0,4,8,0.57,2,0,15,594,498,0.84,5,9,2,0.8346456692913385,0.7281818181818182,1.9901447876722744,0.083879990361913,0.08168721023511748,0.12413283521051893,0.06666666666666667,0.07348771080518701,-0.24445190133073122,9.441357346357346,18.14285714285714,0.4945054945054946,10.767641586140039,0
11,1,3,2,0.48,1,0,15,450,347,0.77,5,9,1,0.7107438016528925,0.5991561181434599,1.8978547823041727,0.08000523690151176,0.08937535279471054,0.1302676206575568,0.0625,0.05633163545844942,-0.1904361769327596,8.649322725885227,16.133333333333336,0.6095238095238095,10.635524004345514,0
14,0,3,8,0.52,2,0,5,443,367,0.83,5,7,9,0.782608695652174,0.6505494505494506,1.921532535942939,0.0912059286513833,0.09941671760785686,0.10223824645007318,0.06666666666666667,0.0801742153968007,-0.07958793780011486,8.46537037037037,16.428571428571427,0.5384615384615383,10.40562404228039,1
6,1,4,0,0.49,6,1,17,441,362,0.82,5,7,4,0.7157894736842105,0.6324921135646687,1.7295275379327917,0.10018429967657393,0.11570262807579784,0.1506166934487166,0.07142857142857141,0.06415880209864118,-0.07247668832124798,7.3302437641723355,14.615384615384613,0.6346153846153845,9.290354808590102,0
16,0,4,4,0.51,1,0,18,403,329,0.82,4,6,34,0.8288288288288288,0.6719457013574661,1.9210284124023924,0.09851417843775148,0.10516148045628389,0.1254547771740927,0.07142857142857142,0.07071719460278278,-0.22629101095567536,8.887136672850959,17.07692307692308,0.46794871794871795,10.158060833028864,1
15,1,10,2,0.51,3,0,7,422,303,0.72,5,7,1,0.8064516129032258,0.5831643002028397,1.8430704021231281,0.08044640326423835,0.07773539063665563,0.11447513264007189,0.0625,0.05586925876584328,-0.1705975634075597,8.46185325091575,16.53333333333333,0.5761904761904764,10.787505603981575,1
9,0,4,2,0.49,2,0,8,419,318,0.76,6,7,4,0.8172043010752689,0.6797583081570997,1.8055043682198182,0.10031284646518522,0.0993253471990186,0.13049805513000556,0.07142857142857142,0.07851375026998406,-0.23796368384204675,7.919501133786847,14.307692307692307,0.5576923076923077,8.804193712827109,0
22,1,12,2,0.65,1,0,10,637,535,0.84,5,8,2,0.8225806451612904,0.6875,1.8325066135819719,0.09405106442183296,0.09094450940463877,0.12676101901903092,0.06666666666666668,0.07510253827377103,-0.21239707603737104,9.35072705072705,17.71428571428571,0.48351648351648346,10.8098102032575,0
7,0,3,1,0.35,3,0,10,224,142,0.63,5,8,1,0.65,0.6413934426229508,1.7347788896308398,0.09281005948267698,0.09440830312637905,0.14449147773465976,0.07142857142857142,0.06771325086114069,-0.07152477526262714,6.055102040816327,12.307692307692308,0.6153846153846153,7.802857137791878,0
9,1,4,1,0.53,7,0,14,579,484,0.84,5,8,7,0.7866666666666666,0.6435935198821797,1.9701814400260846,0.06994707787709134,0.07329175280545532,0.12534186212628332,0.0588235294117647,0.05577171604493923,-0.1255448489410104,9.538515895868837,18.75,0.5458333333333334,11.642743907211672,0
26,0,6,1,0.47,4,0,18,563,456,0.81,5,9,5,0.8472222222222222,0.6992537313432836,1.965792308756922,0.08170775011614705,0.09230500039987793,0.1175965323906869,0.05882352941176469,0.05528548795988518,-0.2246556322588453,9.748578872108284,18.0,0.5125,11.271478416280445,0
20,1,6,2,0.65,3,0,12,675,558,0.83,6,8,6,0.859375,0.7134038800705468,1.909963529892431,0.08917384347254315,0.09245934727264765,0.14773324300757562,0.06249999999999999,0.061820158507178424,-0.3499027946873112,9.452126692751692,17.06666666666666,0.480952380952381,10.766082364453073,0
4,0,2,1,0.35,5,1,11,252,166,0.66,7,7,4,0.6067415730337079,0.5397111913357401,1.6554398266112371,0.08032718292927715,0.08155170862115314,0.1694758056663059,0.0625,0.06358950529888063,-0.19493033211709448,6.543774801587302,11.866666666666667,0.8380952380952381,8.639039600836826,0
12,1,5,3,0.65,2,0,20,612,552,0.9,8,9,2,0.8695652173913043,0.7689873417721519,1.957855855346839,0.09514293924389454,0.11314970255912182,0.1532827508130976,0.07142857142857142,0.07069208167467188,-0.26200697108765214,9.290615337043908,17.692307692307693,0.4551282051282051,10.389477407124465,1
17,0,4,1,0.35,3,0,7,331,276,0.83,4,8,3,0.7304347826086957,0.6192660550458715,1.8120978962812708,0.08435855285893933,0.0987975661994662,0.12130189793548524,0.06249999999999999,0.062461840176357517,-0.13004660230095652,7.732251082251083,15.333333333333336,0.5666666666666668,10.138638482346686,0
5,1,4,4,0.4,3,0,8,354,278,0.79,4,7,1,0.7288135593220338,0.5532150776053215,1.829062123814099,0.08824079663692072,0.09339580564672706,0.11531743812201928,0.0625,0.0609539367850679,-0.2533543992125317,8.430997474747475,15.733333333333333,0.6142857142857144,10.567516442815945,0
22,0,4,4,0.6,1,0,10,625,565,0.9,4,11,1,0.8641975308641975,0.743979721166033,2.098824389202263,0.08661949791147858,0.09404738595884649,0.09797886281815066,0.0625,0.05828664638097203,-0.09812491718350834,10.61755223942724,21.599999999999998,0.3714285714285714,12.267472185462493,1
11,1,7,6,0.55,2,0,9,495,414,0.84,5,7,11,0.7575757575757576,0.6048689138576779,1.8868278873233157,0.07760140624282039,0.09199928804976219,0.09932568034719613,0.0625,0.062247802528333375,-0.05182502561024371,8.57672847985348,17.6,0.519047619047619,11.126489928835467,1
8,0,4,2,0.45,2,0,12,353,259,0.73,4,7,2,0.6842105263157895,0.5601965601965602,1.8450408286414999,0.08178225274231218,0.08929014299143045,0.12347516112070994,0.06249999999999999,0.06504964500126385,-0.10804146673074486,7.931047077922078,15.2,0.6333333333333334,10.4598015778202,0
7,1,2,1,0.42,6,1,10,328,260,0.79,5,7,8,0.6481481481481481,0.5882352941176471,1.7363532549711373,0.08118837049159497,0.0981078579822348,0.13021950929858203,0.06250000000000001,0.05480717682187011,-0.1228096494595499,7.909043560606061,14.4,0.7333333333333333,10.025183953516331,0
22,0,5,1,0.58,1,0,6,590,509,0.86,5,9,2,0.8333333333333334,0.7056338028169014,2.1334411500703396,0.07520267885504062,0.07448543664561083,0.08950627522875707,0.0625,0.06154789045970122,-0.0984136769837704,10.04662126068376,20.800000000000004,0.40000000000000013,12.003826623862969,1
14,1,4,3,0.36,1,1,6,278,213,0.77,6,6,4,0.6363636363636364,0.5390334572490706,1.5607104090414063,0.09274515408565162,0.0912520893410631,0.13018714570379775,0.06666666666666667,0.06862296329007173,-0.2155189713484346,6.954603174603176,12.571428571428571,0.7747252747252746,9.261534814657665,0
15,0,6,7,0.64,1,0,8,653,572,0.88,4,10,2,0.8034188034188035,0.7840909090909091,1.8958274761716478,0.11384568360040057,0.13349505458938957,0.12658300756114765,0.07692307692307693,0.07069619829945707,-0.21300618767958102,9.282417582417581,19.5,0.29545454545454547,10.609665566631511,1
9,1,5,9,0.61,4,0,13,508,429,0.84,5,8,2,0.88,0.7448979591836735,1.8943120247335319,0.09408790267122222,0.10557761326522716,0.13757392294447937,0.0769230769230769,0.07589869250031879,-0.2260452372140368,7.938245088245088,16.666666666666668,0.33333333333333337,9.422463137352842,0
20,0,7,0,0.39,3,0,10,280,206,0.74,5,8,3,0.6382978723404256,0.625,1.6739151085779924,0.09205512287608539,0.09827241406578877,0.13384439834187256,0.0625,0.06898063233246,0.18544488963677797,6.519791666666666,12.533333333333333,0.8666666666666668,8.594132700893693,1
13,1,4,0,0.52,2,0,14,664,607,0.91,6,9,2,0.8545454545454545,0.7619565217391304,1.9291219864581604,0.09430690401247983,0.10049884324846486,0.12443782231970896,0.07692307692307693,0.08423386637390583,-0.22676034924880192,9.166514041514041,18.333333333333332,0.3484848484848485,10.18887093298858,1
13,0,1,1,0.48,2,0,10,552,499,0.9,6,8,1,0.8067226890756303,0.6359649122807017,1.791733898964007,0.08258062630551095,0.08327551167012606,0.13847041908224947,0.0625,0.05906814465576146,-0.1519787946773976,8.75397727272727,15.866666666666664,0.6285714285714287,10.62947686534643,0
7,1,2,3,0.36,4,0,11,299,246,0.82,4,7,3,0.72,0.6593567251461988,1.8482845517588111,0.0931875147406423,0.09599022281519616,0.13530617661715375,0.07142857142857142,0.07135966673320833,-0.1715421555417966,7.8278061224489806,15.384615384615381,0.4615384615384615,9.279650999155644,0
22,0,5,1,0.64,2,0,12,608,547,0.9,5,10,2,0.7555555555555555,0.7055655296229802,1.9823463896091618,0.09753878070352553,0.11063539212773832,0.12034131018337307,0.06249999999999999,0.052655622231920524,-0.0007392148837897117,9.074792568542568,18.0,0.5238095238095237,11.262879774401606,1
14,1,6,8,0.61,1,0,13,660,572,0.87,10,8,4,0.8571428571428571,0.764367816091954,1.916692947408502,0.09833213713599094,0.10658402282431159,0.12917581039523215,0.07142857142857142,0.06909603955463514,-0.13820710822912752,8.825559163059163,17.23076923076923,0.519230769230769,10.137010971055089,0
7,0,3,3,0.39,4,0,13,363,279,0.77,6,7,4,0.6530612244897959,0.5,1.6933146773712355,0.07763702414483128,0.08993978467794339,0.0859027411906351,0.06249999999999999,0.06325945546956355,0.1722979309271006,6.026176948051948,13.066666666666666,0.8857142857142858,9.05121184828831,0
9,1,5,2,0.4,1,0,13,408,345,0.85,5,8,3,0.7747747747747747,0.6314606741573033,1.8084691893770706,0.09372202994844249,0.0910350406783198,0.1641733940288283,0.07142857142857142,0.061645560987526826,-0.26922542497296126,8.422444222444224,17.07692307692308,0.4551282051282051,10.261504697572809,0
12,0,6,2,0.6,1,0,7,656,589,0.9,5,10,1,0.9264705882352942,0.8188291139240507,2.072283095947861,0.09035471078761508,0.09488070636323742,0.12276462271048974,0.06666666666666667,0.07420469489199044,-0.09168319952429188,10.102774262774263,19.428571428571427,0.46153846153846145,11.146042598325879,1
22,1,8,3,0.54,3,0,12,564,481,0.85,6,9,2,0.8253968253968254,0.6939890710382514,1.924879986792838,0.08809367383911171,0.09027717884743938,0.13149698858840606,0.06666666666666667,0.07506605012552689,-0.2756007438893228,9.243554593554594,18.0,0.5,10.710909247271477,1
12,0,5,1,0.46,4,0,10,434,352,0.81,5,9,1,0.743801652892562,0.6207983193277311,1.8082943328183156,0.0844516323555837,0.09362796001300128,0.1188188151172325,0.0625,0.06077887453986164,-0.1714287515901133,8.656333423520925,16.13333333333333,0.6333333333333333,10.61259222741285,0
17,1,3,3,0.47,1,0,5,420,368,0.88,5,9,2,0.7692307692307693,0.6983298538622129,1.88438940235668,0.09434230860691878,0.11062127458038763,0.13076867273059545,0.06666666666666664,0.06919549085977193,-0.28714261245643513,8.954771524771525,16.71428571428571,0.5604395604395606,10.45956937799043,0
