f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
17,1,3,0,0.35,2,0,18,257,189,0.74,5,7,2,0.6470588235294118,0.6629834254143646,1.7201934592198251,0.11208645982395299,0.11448147485011512,0.15282938004333366,0.09090909090909093,0.09654452395882371,-0.000604618238318752,6.069588744588745,13.600000000000003,0.5555555555555556,7.95153865742101,14,0,5,3,0.65,4,0,10,499,422,0.85,7,10,1,0.8444444444444444,0.8806646525679759,1.820043536991842,0.10238087702941173,0.0991240791603809,0.15637679100391208,0.09090909090909093,0.09641181091799202,-0.28053179023971997,8.35479797979798,18.0,0.22222222222222224,9.563714063714064,0
14,0,5,3,0.65,4,0,10,499,422,0.85,7,10,1,0.8444444444444444,0.8806646525679759,1.820043536991842,0.10238087702941173,0.0991240791603809,0.15637679100391208,0.09090909090909093,0.09641181091799202,-0.28053179023971997,8.35479797979798,18.0,0.22222222222222224,9.563714063714064,17,1,3,0,0.35,2,0,18,257,189,0.74,5,7,2,0.6470588235294118,0.6629834254143646,1.7201934592198251,0.11208645982395299,0.11448147485011512,0.15282938004333366,0.09090909090909093,0.09654452395882371,-0.000604618238318752,6.069588744588745,13.600000000000003,0.5555555555555556,7.95153865742101,0
10,1,5,1,0.36,1,0,4,459,398,0.87,7,7,2,0.7887323943661971,0.7392344497607656,1.7076276408420703,0.10983658242556715,0.1334460856659459,0.1732579171675259,0.09090909090909091,0.09554291972231561,-0.12126349303219747,6.898160173160173,14.200000000000001,0.45555555555555555,8.258699633699633,12,0,3,2,0.64,1,0,9,849,792,0.93,6,8,4,0.9032258064516129,0.8498583569405099,1.991509361356614,0.11298690628976601,0.12118676417304677,0.14794678072432024,0.0909090909090909,0.103825958914545,-0.17911577023586264,8.528535353535354,18.6,0.1888888888888889,9.655844155844155,0
12,0,3,2,0.64,1,0,9,849,792,0.93,6,8,4,0.9032258064516129,0.8498583569405099,1.991509361356614,0.11298690628976601,0.12118676417304677,0.14794678072432024,0.0909090909090909,0.103825958914545,-0.17911577023586264,8.528535353535354,18.6,0.1888888888888889,9.655844155844155,10,1,5,1,0.36,1,0,4,459,398,0.87,7,7,2,0.7887323943661971,0.7392344497607656,1.7076276408420703,0.10983658242556715,0.1334460856659459,0.1732579171675259,0.09090909090909091,0.09554291972231561,-0.12126349303219747,6.898160173160173,14.200000000000001,0.45555555555555555,8.258699633699633,1
12,1,9,2,0.64,1,0,12,637,558,0.88,5,9,2,0.9263157894736842,0.8663101604278075,2.0018037324084936,0.10962343461760474,0.1388398354938754,0.1566382196782306,0.09090909090909091,0.0821895504493462,-0.1680172622724568,8.794191919191919,19.0,0.16666666666666669,9.738927738927739,5,0,1,0,0.36,5,0,10,315,261,0.83,5,8,2,0.7297297297297297,0.7072649572649573,1.837881579768281,0.09545679382051764,0.12602256153517957,0.1434037845547495,0.09090909090909093,0.07739437401697664,-0.10784731353541549,6.700937950937952,14.8,0.39999999999999997,8.410214785214784,0
5,0,1,0,0.36,5,0,10,315,261,0.83,5,8,2,0.7297297297297297,0.7072649572649573,1.837881579768281,0.09545679382051764,0.12602256153517957,0.1434037845547495,0.09090909090909093,0.07739437401697664,-0.10784731353541549,6.700937950937952,14.8,0.39999999999999997,8.410214785214784,12,1,9,2,0.64,1,0,12,637,558,0.88,5,9,2,0.9263157894736842,0.8663101604278075,2.0018037324084936,0.10962343461760474,0.1388398354938754,0.1566382196782306,0.09090909090909091,0.0821895504493462,-0.1680172622724568,8.794191919191919,19.0,0.16666666666666669,9.738927738927739,1
15,1,4,1,0.6,0,0,8,673,595,0.88,4,9,2,0.813953488372093,0.8044871794871795,1.7804687864780904,0.11525192761901717,0.12499328244468225,0.14648773177553936,0.09090909090909091,0.10583758180749196,-0.21914846583321046,8.152272727272727,17.200000000000003,0.2666666666666667,9.124209124209123,7,0,5,1,0.4,2,0,8,410,343,0.84,4,7,4,0.8941176470588236,0.782312925170068,1.828465772673408,0.09183280299873531,0.09662568072097558,0.15536771643165703,0.09090909090909093,0.08232221223933381,-0.20206590485496212,7.866089466089466,17.0,0.2777777777777778,9.097735597735598,1
7,0,5,1,0.4,2,0,8,410,343,0.84,4,7,4,0.8941176470588236,0.782312925170068,1.828465772673408,0.09183280299873531,0.09662568072097558,0.15536771643165703,0.09090909090909093,0.08232221223933381,-0.20206590485496212,7.866089466089466,17.0,0.2777777777777778,9.097735597735598,15,1,4,1,0.6,0,0,8,673,595,0.88,4,9,2,0.813953488372093,0.8044871794871795,1.7804687864780904,0.11525192761901717,0.12499328244468225,0.14648773177553936,0.09090909090909091,0.10583758180749196,-0.21914846583321046,8.152272727272727,17.200000000000003,0.2666666666666667,9.124209124209123,0
6,1,1,2,0.4,1,0,8,377,301,0.8,4,10,2,0.7727272727272727,0.7870662460567823,1.856608500974441,0.10062740092062986,0.1091839713747779,0.13495332408291202,0.09090909090909091,0.09935700171044096,-0.05840520107565685,8.011580086580087,17.6,0.24444444444444446,9.18997668997669,24,0,7,2,0.6,0,0,9,613,556,0.91,6,9,1,0.8636363636363636,0.8255451713395638,1.943187011960296,0.1127029971901706,0.1183842872468284,0.12569887414547992,0.09090909090909091,0.09391496970046548,-0.13832135816401864,8.113852813852814,17.6,0.24444444444444446,9.301698301698302,0
24,0,7,2,0.6,0,0,9,613,556,0.91,6,9,1,0.8636363636363636,0.8255451713395638,1.943187011960296,0.1127029971901706,0.1183842872468284,0.12569887414547992,0.09090909090909091,0.09391496970046548,-0.13832135816401864,8.113852813852814,17.6,0.24444444444444446,9.301698301698302,6,1,1,2,0.4,1,0,8,377,301,0.8,4,10,2,0.7727272727272727,0.7870662460567823,1.856608500974441,0.10062740092062986,0.1091839713747779,0.13495332408291202,0.09090909090909091,0.09935700171044096,-0.05840520107565685,8.011580086580087,17.6,0.24444444444444446,9.18997668997669,1
15,1,1,1,0.53,2,0,17,653,609,0.93,9,7,2,0.9135802469135802,0.7571942446043165,1.813713567120311,0.1193308043236178,0.12346345160272162,0.1561162579292808,0.09090909090909091,0.09351489709625616,-0.22961516995574352,7.788311688311689,16.2,0.3222222222222222,8.807692307692307,13,0,1,4,0.47,3,0,11,492,452,0.92,8,8,2,0.8433734939759037,0.7972508591065293,1.7701016244244312,0.1110572617407137,0.12486435321109626,0.19940909192451034,0.09090909090909093,0.08763306497309349,-0.32559643534850896,7.8419191919191915,16.6,0.3,9.042540792540793,1
13,0,1,4,0.47,3,0,11,492,452,0.92,8,8,2,0.8433734939759037,0.7972508591065293,1.7701016244244312,0.1110572617407137,0.12486435321109626,0.19940909192451034,0.09090909090909093,0.08763306497309349,-0.32559643534850896,7.8419191919191915,16.6,0.3,9.042540792540793,15,1,1,1,0.53,2,0,17,653,609,0.93,9,7,2,0.9135802469135802,0.7571942446043165,1.813713567120311,0.1193308043236178,0.12346345160272162,0.1561162579292808,0.09090909090909091,0.09351489709625616,-0.22961516995574352,7.788311688311689,16.2,0.3222222222222222,8.807692307692307,0
16,1,2,1,0.54,1,0,12,535,457,0.85,5,10,1,0.8222222222222222,0.817910447761194,1.8956393631311768,0.11455359787782796,0.11695447397239439,0.14573495105579773,0.09090909090909093,0.0847507023573386,-0.11582239057586685,8.14163059163059,18.000000000000004,0.22222222222222224,9.436729936729938,7,0,4,2,0.46,2,0,13,411,338,0.82,5,8,3,0.8048780487804879,0.7793594306049823,1.8140773531441574,0.12325348118241888,0.11571000496749329,0.13566379190748823,0.09090909090909091,0.0912235240003952,-0.2158222120737091,7.649314574314574,16.4,0.3222222222222222,8.868908868908868,1
7,0,4,2,0.46,2,0,13,411,338,0.82,5,8,3,0.8048780487804879,0.7793594306049823,1.8140773531441574,0.12325348118241888,0.11571000496749329,0.13566379190748823,0.09090909090909091,0.0912235240003952,-0.2158222120737091,7.649314574314574,16.4,0.3222222222222222,8.868908868908868,16,1,2,1,0.54,1,0,12,535,457,0.85,5,10,1,0.8222222222222222,0.817910447761194,1.8956393631311768,0.11455359787782796,0.11695447397239439,0.14573495105579773,0.09090909090909093,0.0847507023573386,-0.11582239057586685,8.14163059163059,18.000000000000004,0.22222222222222224,9.436729936729938,0
24,1,10,2,0.56,1,0,14,489,409,0.84,4,10,2,0.8387096774193549,0.8494318181818182,1.8943120247335319,0.10265566779998572,0.11825929564871776,0.123378965477837,0.09090909090909091,0.08797104643632356,-0.07890063924070878,8.43748196248196,18.599999999999998,0.1888888888888889,9.635031635031634,3,0,0,4,0.44,2,0,11,385,313,0.81,4,8,3,0.8636363636363636,0.8105590062111802,1.8031182929478016,0.10762975847134991,0.10145650245744728,0.15734586880868698,0.09090909090909091,0.0860142417731835,-0.3075942255265898,8.177020202020202,17.6,0.2444444444444445,9.317682317682317,1
3,0,0,4,0.44,2,0,11,385,313,0.81,4,8,3,0.8636363636363636,0.8105590062111802,1.8031182929478016,0.10762975847134991,0.10145650245744728,0.15734586880868698,0.09090909090909091,0.0860142417731835,-0.3075942255265898,8.177020202020202,17.6,0.2444444444444445,9.317682317682317,24,1,10,2,0.56,1,0,14,489,409,0.84,4,10,2,0.8387096774193549,0.8494318181818182,1.8943120247335319,0.10265566779998572,0.11825929564871776,0.123378965477837,0.09090909090909091,0.08797104643632356,-0.07890063924070878,8.43748196248196,18.599999999999998,0.1888888888888889,9.635031635031634,0
